StateAbbr,PlaceName,PlaceFIPS,Population2010,ACCESS2_AdjPrev,BPHIGH_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CANCER_CrudePrev
NM,Albuquerque,3502000,545852,12.4,26.4,5.8,10.3,5.8
NM,Las Cruces,3539380,97618,13.9,28.3,5.6,10.3,5.7
NM,Rio Rancho,3563460,87521,9.7,25.1,5.8,9.7,5.8
NM,Santa Fe,3570500,67947,11.9,22.9,5.6,9.3,6.8
NY,Albany,3601000,97856,11.1,33.5,6.2,11.9,5.3
NY,Buffalo,3611000,261310,13.7,37.4,6.1,12.6,5.8
NY,Mount Vernon,3649121,67292,13.2,33.9,5.5,12.4,5.8
NY,New Rochelle,3650617,77062,12.8,26.8,5.8,10.5,6.4
NY,New York,3651000,8175133,14.7,29,5.4,10.5,5.3
NY,Rochester,3663000,210565,15.4,34.9,6.1,12.5,5.2
NY,Schenectady,3665508,66135,13.1,32.4,6.3,12.3,6
NY,Syracuse,3673000,145170,13.8,32.3,6,12.7,5.2
NY,Yonkers,3684000,195976,15,28,5.7,10.7,6.2
NC,Asheville,3702140,83393,14,29.4,6.2,8.3,6.9
NC,Cary,3710740,135234,11.1,25.8,6.1,7.3,5.6
NC,Charlotte,3712000,731424,17,33.2,5.9,8.5,5
NC,Concord,3714100,79066,17.1,32.8,6.2,8.5,6
NC,Durham,3719000,228330,17.7,33.5,5.8,8.8,4.8
NC,Fayetteville,3722920,200564,17.5,38.2,5.9,9.1,5.1
NC,Gastonia,3725580,71741,20.2,35.6,6.1,9.4,6.6
NC,Greensboro,3728000,269666,17.6,35,5.9,9,5.5
NC,Greenville,3728080,84554,16.6,36.4,6,9.4,4.2
NC,High Point,3731400,104371,19.5,35.1,5.9,9.2,6
NC,Jacksonville,3734200,70145,17.4,35.1,6,8.4,3.2
NC,Raleigh,3755000,403892,15.1,31,6,8.4,4.8
NC,Wilmington,3774440,106476,15.9,30.1,6.3,8.8,6.2
NC,Winston-Salem,3775000,229617,19.9,35.4,6,9.1,6
ND,Fargo,3825700,105549,9.2,28,6.3,8.7,5.3
OH,Akron,3901000,199110,12.5,36.3,6,11,6.1
OH,Canton,3912000,73007,13.4,35.9,6.3,11.3,6.5
OH,Cincinnati,3915000,296943,12.2,36.5,6,10.8,5.5
OH,Cleveland,3916000,396815,16.8,40.3,5.6,11.7,5.7
OH,Columbus,3918000,787033,10.8,33.9,6.2,10,5.1
OH,Dayton,3921000,141527,14.2,41.7,6,11.5,5.8
OH,Parma,3961000,81601,9.4,28.7,6.4,9.4,7.6
OH,Toledo,3977000,287208,13.4,36,6.1,11.1,6
OH,Youngstown,3988000,66982,17.5,40.8,5.8,11.3,6.6
OK,Broken Arrow,4009050,98850,12.6,31.1,6.4,9.3,6.3
OK,Edmond,4023200,81405,11.1,27.4,6.2,9.1,6
OK,Lawton,4041850,96867,18.2,37.1,6,10.1,5
OK,Norman,4052500,110925,13.3,33.5,6.3,9.6,5.2
OK,Oklahoma City,4055000,579999,18.9,33,5.9,10.1,5.7
OK,Tulsa,4075000,391906,18.1,35.2,6.2,10.3,6.3
OR,Beaverton,4105350,89803,10.7,25.8,6.2,9.6,5.8
OR,Bend,4105800,76639,8.9,24,6.5,9.7,6.6
OR,Eugene,4123850,156185,10.5,25.3,6.7,10.2,6.3
OR,Gresham,4131250,105594,14,27.7,6.4,10.2,6.1
OR,Hillsboro,4134100,91611,12.2,25.9,6.2,9.7,5.1
OR,Medford,4147000,74907,13.7,27.6,6.4,11.1,7.4
OR,Portland,4159000,583776,9.8,25.9,6.3,9.5,5.8
OR,Salem,4164900,154637,13.9,29.2,6.5,10.4,6.5
PA,Allentown,4202000,118032,18.9,34.8,5.8,10.7,5.7
PA,Bethlehem,4206088,74982,12.6,30.2,6.2,10.1,6.7
PA,Erie,4224000,101786,12.3,32,6.3,11.2,6.3
PA,Philadelphia,4260000,1526006,13.9,34.2,5.7,11.6,5.4
PA,Pittsburgh,4261000,305704,9.2,32.8,6.1,10.6,5.8
PA,Reading,4263624,88082,25.1,36.7,5.6,11.7,4.9
PA,Scranton,4269000,76089,11.8,31.5,6.3,10.7,7
RI,Cranston,4419180,80387,9.4,29.2,6.5,11.3,7.3
RI,Pawtucket,4454640,71148,13.3,32.7,6.3,12.9,6.4
RI,Providence,4459000,178042,16.5,34,5.9,12.4,4.6
RI,Warwick,4474300,82672,7.5,30.5,6.4,11.4,7.6
SC,Charleston,4513330,120083,12.3,31.5,6.3,8.8,5.7
SC,Columbia,4516000,129272,17.5,37.1,5.9,9.4,4.3
SC,Mount Pleasant,4548535,67843,9.1,26.3,6.6,7.8,6.9
SC,North Charleston,4550875,97471,20.9,38.2,5.9,10.1,4.9
SC,Rock Hill,4561405,66154,17.1,36.8,6.3,9.7,5.6
SD,Rapid City,4652980,67956,11.8,29.1,6.5,8.3,7
SD,Sioux Falls,4659020,153888,11.3,26.9,6.5,7.9,6.2
TN,Chattanooga,4714000,167674,16.6,39,5.9,10.7,6.3
TN,Clarksville,4715160,132929,14.9,37,6.1,10.3,4.6
TN,Knoxville,4740000,178874,15.4,37.4,6.4,10.8,6
TN,Memphis,4748000,646889,19.9,43,5.5,11.6,5.2
TN,Murfreesboro,4751560,108755,13.4,34,6.3,9.9,4.8
TN,Nashville,4752006,601222,15.4,35.2,6.1,10.4,5.4
TX,Abilene,4801000,117063,22.6,31.9,6,9.2,5.8
TX,Allen,4801924,84246,12.6,26.6,6.1,7.9,5
TX,Amarillo,4803000,190695,23.1,31.3,6.1,9.2,6.2
TX,Arlington,4804000,365438,22,31.1,6,9.3,5.1
TX,Austin,4805000,790390,19.7,27.5,5.8,8.2,4.3
TX,Baytown,4806128,71802,27.5,32.3,5.8,9,5.5
TX,Beaumont,4807000,118296,22.6,36.6,5.7,9.9,5.7
TX,Brownsville,4810768,175023,41.4,33.4,4.8,8.7,4.5
TX,Bryan,4810912,76201,26.2,32.4,5.9,9.4,4.8
TX,Carrollton,4813024,119097,20.5,29.2,5.8,8.1,5.1
TX,College Station,4815976,93857,15.7,28.8,6.2,8.4,2.8
TX,Corpus Christi,4817000,305215,28,32,5.4,8.5,5.4
TX,Dallas,4819000,1197816,28.1,34.8,5.6,9.3,4.8
TX,Denton,4819972,113383,18.7,30.6,6.3,8.7,4.6
TX,Edinburg,4822660,77100,35.5,31.9,4.7,7.6,3.6
TX,El Paso,4824000,649121,32.7,31.5,5,8.1,4.8
TX,Fort Worth,4827000,741206,24.5,32.4,5.8,9.5,4.9
TX,Frisco,4827684,116989,11.7,26,6.2,7.7,4.8
TX,Garland,4829000,226876,26.6,32.7,5.7,9,5.2
TX,Grand Prairie,4830464,175396,25.6,32.3,5.6,8.9,4.5
TX,Houston,4835000,2099451,28.2,33.1,5.5,8.8,4.8
TX,Irving,4837000,216290,24.8,31.8,5.7,8.5,4.3
TX,Killeen,4839148,127921,21,36.2,5.7,9.5,3.8
TX,Laredo,4841464,236091,41,33,4.6,8.6,3.9
TX,League City,4841980,83560,13.7,29.6,6,8.1,5.2
TX,Lewisville,4842508,95290,19.6,30,6,8.5,4.5
TX,Longview,4843888,80455,22.6,34,6.1,9.7,6.4
TX,Lubbock,4845000,229573,22.6,33.2,6,9.1,5.2
TX,McAllen,4845384,129877,34.4,31.1,4.8,7.7,4.6
TX,McKinney,4845744,131117,15.8,27.8,6.2,8.3,5.1
TX,Mesquite,4847892,139824,24.6,33.3,5.9,9.5,5.2
TX,Midland,4848072,111147,21.9,30.9,5.9,8.6,5.8
TX,Mission,4848768,77058,36.5,31.3,4.9,7.8,4.9
TX,Missouri City,4848804,67358,16.7,30.9,5.5,8.4,5.3
TX,Odessa,4853388,99940,27,31.7,5.7,8.8,5.4
